2026-03-05 03:23:10,484 INFO [start_server.py:849] {'encoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\encoder.onnx', 'decoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\decoder.onnx', 'joiner': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\joiner.onnx', 'zipformer2_ctc': None, 'wenet_ctc': None, 'paraformer_encoder': None, 'paraformer_decoder': None, 'tokens': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\tokens.txt', 'sample_rate': 16000, 'feat_dim': 80, 'provider': 'cpu', 'decoding_method': 'modified_beam_search', 'num_active_paths': 6, 'use_endpoint': 0, 'rule1_min_trailing_silence': 2.4, 'rule2_min_trailing_silence': 1.2, 'rule3_min_utterance_length': 20, 'hotwords_file': 'C:\\Nirmita\\logs\\sherpa_hotwords.resolved.txt', 'hotwords_score': 3.5, 'modeling_unit': 'bpe', 'bpe_vocab': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\unigram_500.vocab', 'blank_penalty': 0.0, 'port': 6106, 'nn_pool_size': 1, 'max_batch_size': 3, 'max_wait_ms': 10, 'max_message_size': 1048576, 'max_queue_size': 32, 'max_active_connections': 200, 'num_threads': 2, 'certificate': None, 'doc_root': 'C:\\Nirmita\\apps\\stt-sherpa-server'}
2026-03-05 03:23:11,985 INFO [start_server.py:667] No certificate provided
2026-03-05 03:23:11,987 INFO [server.py:341] server listening on [::]:6106
2026-03-05 03:23:11,988 INFO [server.py:341] server listening on 0.0.0.0:6106
2026-03-05 03:23:11,988 INFO [start_server.py:693] Please visit one of the following addresses:

  http://localhost:6106

Since you are not providing a certificate, you cannot use your microphone from within the browser using public IP addresses. Only localhost can be used.You also cannot use 0.0.0.0 or 127.0.0.1
2026-03-05 03:24:31,258 INFO [server.py:529] connection open
2026-03-05 03:24:31,259 INFO [start_server.py:734] Connected: ('127.0.0.1', 3238). Number of connections: 1/200
2026-03-05 03:24:31,259 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,265 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,266 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,266 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,298 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,299 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,299 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,299 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,328 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,329 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,330 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,355 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,356 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,357 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,385 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,385 INFO [start_server.py:750] Accepting 1664 samples from ('127.0.0.1', 3238)
2026-03-05 03:24:31,385 INFO [start_server.py:745] Received Done from ('127.0.0.1', 3238)
